species,total_biomass,functional.group,duration,lifeform,pathway,origin,keep
APOCYNUM ANDROSAEMIFOLIUM,8526.9596,F,PERENNIAL,NON-LEGUME FORB,C3,NATIVE,COMBINE
APOCYNUM SP.,0.616,F,PERENNIAL,NON-LEGUME FORB,C3,UNKNOWN,COMBINE
ARISTIDA BASIRAMEA,215.764,C4,ANNUAL,GRASS,C4,NATIVE,COMBINE
ARISTIDA SP.,0.103,C4,ANNUAL,GRASS,C4,UNKNOWN,COMBINE
BROMUS INERMIS,4.233,C3,PERENNIAL,GRASS,C3,INTRODUCED,COMBINE
BROMUS SP.,1.173,C3,PERENNIAL,GRASS,C3,INTRODUCED,COMBINE
EQUISETUM LAEVIGATUM,986.43066,O,PERENNIAL,HORSETAIL,C3,NATIVE,COMBINE
EQUISETUM SP.,17.367,O,PERENNIAL,HORSETAIL,C3,NATIVE,COMBINE
MELILOTUS ALBA,407.837,L,BIENNIAL,LEGUME,C3,INTRODUCED,COMBINE
MELILOTUS SP.,7.346,L,BIENNIAL,LEGUME,C3,INTRODUCED,COMBINE
OENOTHERA BIENNIS,2653.1923,F,BIENNIAL,NON-LEGUME FORB,C3,NATIVE,COMBINE
OENOTHERA SP.,1.313,F,BIENNIAL,NON-LEGUME FORB,C3,UNKNOWN,COMBINE
SILENE ANTIRRHINA,132.97897,F,ANNUAL,NON-LEGUME FORB,C3,NATIVE,COMBINE
SILENE SP.,0.05,F,UNKNOWN,NON-LEGUME FORB,C3,NATIVE AND/OR INTRODUCED,COMBINE
ACER NEGUNDO,0.118,W,PERENNIAL,WOODY,C3,NATIVE,NO
ANTENNARIA SP.,0.036,F,PERENNIAL,NON-LEGUME FORB,C3,NATIVE,NO
ARABIS SP.,7.015,F,BIENNIAL,NON-LEGUME FORB,C3,UNKNOWN,NO
ASCLEPIAS SP.,1.1576,F,PERENNIAL,NON-LEGUME FORB,C3,UNKNOWN,NO
ASTER SP.,1.2,F,PERENNIAL,NON-LEGUME FORB,C3,NATIVE,NO
CHENOPODIUM SP.,0.3887,F,UNKNOWN,NON-LEGUME FORB,C3,UNKNOWN,NO
CIRSIUM SP.,33.424,F,PERENNIAL,NON-LEGUME FORB,C3,UNKNOWN,NO
CORYLUS AMERICANUS,17532.441,W,PERENNIAL,WOODY,C3,NATIVE,NO
CYPERUS FILICULMIS,31.907,S,PERENNIAL,SEDGE,C4,NATIVE,NO
CYPERUS SCHWEINITZII,52.973,S,PERENNIAL,SEDGE,C4,NATIVE,NO
EUPHORBIA SP.,0.033,F,ANNUAL,NON-LEGUME FORB,CX,UNKNOWN,NO
FORB SEEDLINGS,0.53,F,UNKNOWN,FORB,UNKNOWN,UNKNOWN,NO
GRASS SEEDLINGS,0.01,G,UNKNOWN,GRASS,UNKNOWN,UNKNOWN,NO
HIERACIUM SP.,0.84,F,BIENNIAL,NON-LEGUME FORB,C3,UNKNOWN,NO
LACTUCA SP.,325.8417,F,BIENNIAL,NON-LEGUME FORB,C3,UNKNOWN,NO
LITHOSPERMUM SP.,0.08003,F,PERENNIAL,NON-LEGUME FORB,C3,UNKNOWN,NO
PANICUM SP.,1.311,G,PERENNIAL,GRASS,CX,NATIVE,NO
PINUS SP.,0.084,W,PERENNIAL,WOODY,C3,UNKNOWN,NO
PINUS STROBUS,0.603,W,PERENNIAL,WOODY,C3,NATIVE,NO
POLYGONUM SP.,0.527,F,ANNUAL,NON-LEGUME FORB,C3,UNKNOWN,NO
POPULUS TREMULOIDES,71,W,PERENNIAL,WOODY,C3,NATIVE,NO
POTENTILLA SP.,10.26,F,PERENNIAL,NON-LEGUME FORB,C3,UNKNOWN,NO
PRUNUS PENSYLVANICA,3.7,W,PERENNIAL,WOODY,C3,NATIVE,NO
PRUNUS SP.,6.112,W,PERENNIAL,WOODY,C3,UNKNOWN,NO
QUERCUS ELLIPSOIDALIS,3098.293,W,PERENNIAL,WOODY,C3,NATIVE,NO
QUERCUS SP.,0.3,W,PERENNIAL,WOODY,C3,NATIVE,NO
RHUS GLABRA,2248.3164,W,PERENNIAL,WOODY,C3,NATIVE,NO
SETARIA SP.,15.0863,C4,ANNUAL,GRASS,C4,UNKNOWN,NO
SOLIDAGO SP.,1.534,F,PERENNIAL,NON-LEGUME FORB,C3,NATIVE,NO
TRADESCANTIA SP.,4.88,F,UNKNOWN,NON-LEGUME FORB,C3,NATIVE AND/OR INTRODUCED,NO
TRIFOLIUM SP.,14.337,L,PERENNIAL,LEGUME,C3,INTRODUCED,NO
ULMUS AMERICANA,1330.1,W,PERENNIAL,WOODY,C3,NATIVE,NO
VIOLA SP.,4.721,F,PERENNIAL,NON-LEGUME FORB,C3,UNKNOWN,NO
ACHILLEA MILLEFOLIUM(LANULOSA),5503.80322,F,PERENNIAL,NON-LEGUME FORB,C3,NATIVE,YES
AGROPYRON REPENS,632973.295,C3,PERENNIAL,GRASS,C3,INTRODUCED,YES
AGROSTIS ALBA,0.753,C3,PERENNIAL,GRASS,C3,INTRODUCED,YES
AGROSTIS SCABRA,3995.742,C3,PERENNIAL,GRASS,C3,NATIVE,YES
AMBROSIA ARTEMISIIFOLIA ELATIOR,6183.5561,F,ANNUAL,NON-LEGUME FORB,C3,NATIVE,YES
AMBROSIA CORONOPIFOLIA,14606.6059,F,PERENNIAL,NON-LEGUME FORB,C3,NATIVE,YES
AMPHICARPA BRACTEATA,0.067,L,ANNUAL,LEGUME,C3,INTRODUCED,YES
ANDROPOGON GERARDI,4917.78736,C4,PERENNIAL,GRASS,C4,NATIVE,YES
ANEMONE CYLINDRICA,1000.7577,F,PERENNIAL,NON-LEGUME FORB,C3,NATIVE,YES
ANTENNARIA NEGLECTA,57.695,F,PERENNIAL,NON-LEGUME FORB,C3,NATIVE,YES
ANTENNARIA PLANTAGINIFOLIA,3.1,F,PERENNIAL,NON-LEGUME FORB,C3,NATIVE,YES
ARABIS DIVARICARPA,63.929,F,BIENNIAL,NON-LEGUME FORB,C3,NATIVE,YES
ARABIS GLABRA,18.767,F,BIENNIAL,NON-LEGUME FORB,C3,NATIVE,YES
ARABIS HIRSUTA,7.807,F,BIENNIAL,NON-LEGUME FORB,C3,NATIVE,YES
ARTEMISIA (CAUDATA) CAMPESTRIS,1376.811,F,BIENNIAL,NON-LEGUME FORB,C3,NATIVE,YES
ARTEMISIA LUDOVICIANA,70416.96586,F,PERENNIAL,NON-LEGUME FORB,C3,NATIVE,YES
ASCLEPIAS INCARNATA,3.677,F,PERENNIAL,NON-LEGUME FORB,C3,NATIVE,YES
ASCLEPIAS OVALIFOLIA,360.57733,F,PERENNIAL,NON-LEGUME FORB,C3,NATIVE,YES
ASCLEPIAS SYRIACA,8720.19184,F,PERENNIAL,NON-LEGUME FORB,C3,NATIVE,YES
ASCLEPIAS TUBEROSA,2353.2029,F,PERENNIAL,NON-LEGUME FORB,C3,NATIVE,YES
ASCLEPIAS VERTICILLATA,5.225,F,PERENNIAL,NON-LEGUME FORB,C3,NATIVE,YES
ASTER AZUREUS,9495.90527,F,PERENNIAL,NON-LEGUME FORB,C3,NATIVE,YES
ASTER ERICOIDES,207.2,F,PERENNIAL,NON-LEGUME FORB,C3,NATIVE,YES
ASTRAGALUS CANADENSIS,0.07,L,PERENNIAL,LEGUME,C3,NATIVE,YES
BERTEROA INCANA,13942.35283,F,BIENNIAL,NON-LEGUME FORB,C3,INTRODUCED,YES
BOUTELOUA GRACILIS,0.0333,C4,PERENNIAL,GRASS,C4,NATIVE,YES
BUCHLOE DACTYLOIDES,0.133,C4,PERENNIAL,GRASS,C4,NATIVE,YES
CALAMOVILFA LONGIFOLIA,6.167,C4,PERENNIAL,GRASS,C4,NATIVE,YES
CAMPANULA ROTUNDIFOLIA,149.349,F,PERENNIAL,NON-LEGUME FORB,C3,NATIVE,YES
CAREX SP.,9246.93779,S,PERENNIAL,SEDGE,C3,NATIVE,YES
CEANOTHUS AMERICANUS,421.43,W,PERENNIAL,WOODY,C3,NATIVE,YES
CENCHRUS LONGISPINUS,903.647,C4,ANNUAL,GRASS,C4,NATIVE,YES
CHENOPODIUM ALBUM,12997.44458,F,ANNUAL,NON-LEGUME FORB,C3,INTRODUCED,YES
CHENOPODIUM LEPTOPHYLLUM,660.1539,F,ANNUAL,NON-LEGUME FORB,C3,NATIVE,YES
CHRYSOPSIS VILLOSA,65.733,F,PERENNIAL,NON-LEGUME FORB,C3,NATIVE,YES
CIRSIUM ARVENSE,40.803,F,PERENNIAL,NON-LEGUME FORB,C3,INTRODUCED,YES
CIRSIUM DISCOLOR,4.8333,F,"BIENNIAL, PERENNIAL",NON-LEGUME FORB,C3,NATIVE,YES
COMANDRA RICHARDSIANA,1.643,F,PERENNIAL,NON-LEGUME FORB,C3,NATIVE,YES
CONVOLVULUS ARVENSIS,0.6333,F,PERENNIAL,NON-LEGUME FORB,C3,INTRODUCED,YES
COREOPSIS PALMATA,1.84,F,PERENNIAL,NON-LEGUME FORB,C3,NATIVE,YES
CREPIS TECTORUM,913.056,F,ANNUAL,NON-LEGUME FORB,C3,INTRODUCED,YES
CYPERUS SP.,1311.27203,S,PERENNIAL,SEDGE,C4,NATIVE,YES
DESMODIUM CANADENSE,3.33,L,PERENNIAL,LEGUME,C3,NATIVE,YES
DIGITARIA ISCHAEMUM,248.83,C4,ANNUAL,GRASS,C4,INTRODUCED,YES
DIGITARIA SANGUINALIS,0.058,C4,ANNUAL,GRASS,C4,INTRODUCED,YES
ELYMUS CANADENSIS,2.1,C3,PERENNIAL,GRASS,C3,NATIVE,YES
ERAGROSTIS SPECTABILIS,613.5156,C4,PERENNIAL,GRASS,C4,NATIVE,YES
ERIGERON ANUUS,2.507,F,ANNUAL,NON-LEGUME FORB,C3,NATIVE,YES
ERIGERON CANADENSIS,9228.241,F,ANNUAL,NON-LEGUME FORB,C3,INTRODUCED,YES
ERIGERON STRIGOSUS,999.774,F,ANNUAL,NON-LEGUME FORB,C3,NATIVE,YES
EUPHORBIA (SUPINA) MACULATA,29.105,F,ANNUAL,NON-LEGUME FORB,C4,NATIVE,YES
EUPHORBIA COROLLATA,13411.92165,F,PERENNIAL,NON-LEGUME FORB,C3,NATIVE,YES
EUPHORBIA GLYPTOSPERMA,59.25503,F,ANNUAL,NON-LEGUME FORB,C4,NATIVE,YES
FRAGARIA VIRGINIANA,682.548,F,PERENNIAL,NON-LEGUME FORB,C3,NATIVE,YES
GNAPHALIUM OBTUSIFOLIUM,390.824,F,BIENNIAL,NON-LEGUME FORB,C3,NATIVE,YES
HEDEOMA HISPIDA,1088.8083,F,ANNUAL,NON-LEGUME FORB,C3,NATIVE,YES
HELIANTHEMUM BICKNELLII,398.784,F,PERENNIAL,NON-LEGUME FORB,C3,NATIVE,YES
HELIANTHUS LAETIFLORUS,9.8,F,PERENNIAL,NON-LEGUME FORB,C3,NATIVE,YES
HIERACIUM AURANTIACUM,0.7873,F,PERENNIAL,NON-LEGUME FORB,C3,INTRODUCED,YES
HIERACIUM KALMII,41.48,F,PERENNIAL,NON-LEGUME FORB,C3,NATIVE,YES
HIERACIUM LONGIPILUM,436.46,F,BIENNIAL,NON-LEGUME FORB,C3,NATIVE,YES
KOELERIA CRISTATA,2.369,C3,PERENNIAL,GRASS,C3,NATIVE,YES
LACTUCA CANADENSIS,773.871,F,BIENNIAL,NON-LEGUME FORB,C3,NATIVE,YES
LACTUCA SERRIOLA (SCARIOLA),8.17,F,BIENNIAL,NON-LEGUME FORB,C3,INTRODUCED,YES
LATHYRUS VENOSUS,9442.94133,L,PERENNIAL,LEGUME,C3,NATIVE,YES
LECHEA STRICTA,28.776,F,PERENNIAL,NON-LEGUME FORB,C3,NATIVE,YES
LEPIDIUM DENSIFLORUM,582.248,F,ANNUAL,NON-LEGUME FORB,C3,NATIVE,YES
LEPTOLOMA COGNATUM,29.68,C4,PERENNIAL,GRASS,C4,NATIVE,YES
LESPEDEZA CAPITATA,4129.24387,L,PERENNIAL,LEGUME,C3,NATIVE,YES
LIATRIS ASPERA,1269.706,F,PERENNIAL,NON-LEGUME FORB,C3,NATIVE,YES
LITHOSPERMUM CANESCENS,1167.67493,F,PERENNIAL,NON-LEGUME FORB,C3,NATIVE,YES
LITHOSPERMUM CAROLINIENSE,2171.936,F,PERENNIAL,NON-LEGUME FORB,C3,NATIVE,YES
LYCHNIS ALBA,13058.333,F,PERENNIAL,NON-LEGUME FORB,C3,INTRODUCED,YES
MEDICAGO SATIVA,0.073,L,PERENNIAL,LEGUME,C3,INTRODUCED,YES
MOLLUGO VERTICILLATA,640.682,F,ANNUAL,NON-LEGUME FORB,C4,INTRODUCED,YES
MONARDA FISTULOSA,84.7953,F,PERENNIAL,NON-LEGUME FORB,C3,NATIVE,YES
OXYBAPHUS HIRSUTUS,1629.5353,F,PERENNIAL,NON-LEGUME FORB,C3,NATIVE,YES
PANICUM CAPILLARE,1234.326,C4,ANNUAL,GRASS,C4,NATIVE,YES
PANICUM OLIGOSANTHES,25203.55437,C3,PERENNIAL,GRASS,C3,NATIVE,YES
PANICUM PERLONGUM,620.875,C3,PERENNIAL,GRASS,C3,NATIVE,YES
PANICUM PRAECOCIOUS,1044.4483,C3,PERENNIAL,GRASS,C3,NATIVE,YES
PANICUM VIRGATUM,5.866,C4,PERENNIAL,GRASS,C4,NATIVE,YES
PENSTEMON GRACILIS,69.498,F,PERENNIAL,NON-LEGUME FORB,C3,NATIVE,YES
PENSTEMON GRANDIFLORUS,67.023,F,PERENNIAL,NON-LEGUME FORB,C3,NATIVE,YES
PENTHORUM SEDOIDES,2.233,F,PERENNIAL,NON-LEGUME FORB,C3,NATIVE,YES
PETALOSTEMUM PURPUREUM,33.911,L,PERENNIAL,LEGUME,C3,NATIVE,YES
PHALARIS ARUNDINACEA,951.534,C3,PERENNIAL,GRASS,C3,NATIVE,YES
PHYSALIS HETEROPHYLLA,560.923,F,PERENNIAL,NON-LEGUME FORB,C3,NATIVE,YES
PHYSALIS VIRGINIANA,1240.04218,F,PERENNIAL,NON-LEGUME FORB,C3,NATIVE,YES
PLANTAGO (PURSHII) PATAGONICA,1.967,F,ANNUAL,NON-LEGUME FORB,C3,NATIVE,YES
POA COMPRESSA,0.367,C3,PERENNIAL,GRASS,C3,INTRODUCED,YES
POA PALUSTRIS,3.17,C3,PERENNIAL,GRASS,C3,NATIVE,YES
POA PRATENSIS,302385.8203,C3,PERENNIAL,GRASS,C3,NATIVE AND/OR INTRODUCED,YES
POLYGALA POLYGAMA,130.568,F,BIENNIAL,NON-LEGUME FORB,C3,NATIVE,YES
POLYGONATUM CANALICULATUM,1082.847,F,PERENNIAL,NON-LEGUME FORB,C3,NATIVE,YES
POLYGONUM CONVOLVULUS,25761.41134,F,ANNUAL,NON-LEGUME FORB,C3,INTRODUCED,YES
POLYGONUM PENSYLVANICUM,9.033,F,ANNUAL,NON-LEGUME FORB,C3,NATIVE,YES
POLYGONUM PERSICARIA,9.333,F,ANNUAL,NON-LEGUME FORB,C3,INTRODUCED,YES
POLYGONUM TENUE,48.911,F,ANNUAL,NON-LEGUME FORB,C3,NATIVE,YES
POTENTILLA ARGENTEA,0.567,F,PERENNIAL,NON-LEGUME FORB,C3,INTRODUCED,YES
POTENTILLA NORVEGICA,0.053,F,BIENNIAL,NON-LEGUME FORB,C3,NATIVE,YES
POTENTILLA RECTA,2840.0387,F,PERENNIAL,NON-LEGUME FORB,C3,INTRODUCED,YES
POTENTILLA SIMPLEX,0.06,F,PERENNIAL,NON-LEGUME FORB,C3,NATIVE,YES
RANUNCULUS RHOMBOIDEUS,0.553,F,PERENNIAL,NON-LEGUME FORB,C3,NATIVE,YES
ROSA ARKANSANA,16929.42677,W,PERENNIAL,WOODY,C3,NATIVE,YES
RUBUS SP.,23637.43917,W,PERENNIAL,WOODY,C3,NATIVE,YES
RUDBECKIA SEROTINA,1004.47066,F,PERENNIAL,NON-LEGUME FORB,C3,NATIVE,YES
RUMEX ACETOSELLA,5411.1523,F,PERENNIAL,NON-LEGUME FORB,C3,INTRODUCED,YES
SALSOLA KALI,0.077,F,ANNUAL,NON-LEGUME FORB,C4,INTRODUCED,YES
SCHIZACHYRIUM SCOPARIUM,205294.9055,C4,PERENNIAL,GRASS,C4,NATIVE,YES
SCUTELLARIA LATERIFLORA,0.233,F,PERENNIAL,NON-LEGUME FORB,C3,NATIVE,YES
SETARIA LUTESCENS (GLAUCA),26651.54356,C4,ANNUAL,GRASS,C4,INTRODUCED,YES
SETARIA VIRIDIS,351.0147,C4,ANNUAL,GRASS,C4,INTRODUCED,YES
SISYRINCHIUM CAMPESTRE,100.899,F,PERENNIAL,NON-LEGUME FORB,C3,NATIVE,YES
SMILACINA RACEMOSA,29.234,F,PERENNIAL,NON-LEGUME FORB,C3,NATIVE,YES
SMILACINA STELLATA,5.553,F,PERENNIAL,NON-LEGUME FORB,C3,NATIVE,YES
SOLANUM AMERICANUM,2.8,F,ANNUAL,NON-LEGUME FORB,C3,NATIVE,YES
SOLIDAGO ALTISSIMA,0.233,F,PERENNIAL,NON-LEGUME FORB,C3,NATIVE,YES
SOLIDAGO GRAMINIFOLIA,95.767,F,PERENNIAL,NON-LEGUME FORB,C3,NATIVE,YES
SOLIDAGO NEMORALIS,5304.47123,F,PERENNIAL,NON-LEGUME FORB,C3,NATIVE,YES
SOLIDAGO RIGIDA,27239.247,F,PERENNIAL,NON-LEGUME FORB,C3,NATIVE,YES
SOLIDAGO SPECIOSA,6.6767,F,PERENNIAL,NON-LEGUME FORB,C3,NATIVE,YES
SORGHASTRUM NUTANS,12140.1465,C4,PERENNIAL,GRASS,C4,NATIVE,YES
SPOROBOLUS CRYPTANDRUS,0.333,C4,PERENNIAL,GRASS,C4,NATIVE,YES
STACHYS PALUSTRIS,3.733,F,PERENNIAL,NON-LEGUME FORB,C3,NATIVE,YES
STIPA COMATA,8.5667,C3,PERENNIAL,GRASS,C3,NATIVE,YES
STIPA SPARTEA,3196.05233,C3,PERENNIAL,GRASS,C3,NATIVE,YES
TARAXICUM OFFICINALIS,1.226,F,PERENNIAL,NON-LEGUME FORB,C3,INTRODUCED,YES
TRADESCANTIA BRACTEATA,1.13,F,PERENNIAL,NON-LEGUME FORB,C3,NATIVE,YES
TRADESCANTIA OCCIDENTALIS,1900.2074,F,PERENNIAL,NON-LEGUME FORB,C3,NATIVE,YES
TRAGOPOGON DUBIUS (MAJOR),1658.993,F,BIENNIAL,NON-LEGUME FORB,C3,INTRODUCED,YES
TRIFOLIUM HYBRIDUM,0.877,L,PERENNIAL,LEGUME,C3,INTRODUCED,YES
TRIFOLIUM PRATENSE,0.2,L,PERENNIAL,LEGUME,C3,INTRODUCED,YES
TRIFOLIUM REPENS,18.277,L,PERENNIAL,LEGUME,C3,INTRODUCED,YES
TYPHA GLAUCA,0.647,F,PERENNIAL,NON-LEGUME FORB,C3,NATIVE,YES
URTICA DIOICA,5743.328,F,PERENNIAL,NON-LEGUME FORB,C3,NATIVE,YES
VERBASCUM THAPSUS,1894.699,F,BIENNIAL,NON-LEGUME FORB,C3,INTRODUCED,YES
VICIA VILLOSA,16.638,L,ANNUAL,LEGUME,C3,INTRODUCED,YES
VIOLA PEDATA,0.333,F,PERENNIAL,NON-LEGUME FORB,C3,NATIVE,YES
VIOLA PEDATIFIDA,416.40978,F,PERENNIAL,NON-LEGUME FORB,C3,NATIVE,YES
VIOLA SAGITTATA,0.05,F,PERENNIAL,NON-LEGUME FORB,C3,NATIVE,YES