species,total_biomass,functional.group,duration,lifeform,pathway,origin
ACER NEGUNDO,0.118,W,PERENNIAL,WOODY,C3,NATIVE
ACHILLEA MILLEFOLIUM(LANULOSA),5503.80322,F,PERENNIAL,NON-LEGUME FORB,C3,NATIVE
AGROPYRON REPENS,632973.295,C3,PERENNIAL,GRASS,C3,INTRODUCED
AGROSTIS ALBA,0.753,C3,PERENNIAL,GRASS,C3,INTRODUCED
AGROSTIS SCABRA,3995.742,C3,PERENNIAL,GRASS,C3,NATIVE
AMBROSIA ARTEMISIIFOLIA ELATIOR,6183.5561,F,ANNUAL,NON-LEGUME FORB,C3,NATIVE
AMBROSIA CORONOPIFOLIA,14606.6059,F,PERENNIAL,NON-LEGUME FORB,C3,NATIVE
AMPHICARPA BRACTEATA,0.067,L,ANNUAL,LEGUME,C3,INTRODUCED
ANDROPOGON GERARDI,4917.78736,C4,PERENNIAL,GRASS,C4,NATIVE
ANEMONE CYLINDRICA,1000.7577,F,PERENNIAL,NON-LEGUME FORB,C3,NATIVE
ANTENNARIA NEGLECTA,57.695,F,PERENNIAL,NON-LEGUME FORB,C3,NATIVE
ANTENNARIA PLANTAGINIFOLIA,3.1,F,PERENNIAL,NON-LEGUME FORB,C3,NATIVE
ANTENNARIA SP.,0.036,F,PERENNIAL,NON-LEGUME FORB,C3,NATIVE
APOCYNUM ANDROSAEMIFOLIUM,8526.9596,F,PERENNIAL,NON-LEGUME FORB,C3,NATIVE
APOCYNUM SP.,0.616,F,PERENNIAL,NON-LEGUME FORB,C3,UNKNOWN
ARABIS DIVARICARPA,63.929,F,BIENNIAL,NON-LEGUME FORB,C3,NATIVE
ARABIS GLABRA,18.767,F,BIENNIAL,NON-LEGUME FORB,C3,NATIVE
ARABIS HIRSUTA,7.807,F,BIENNIAL,NON-LEGUME FORB,C3,NATIVE
ARABIS SP.,7.015,F,BIENNIAL,NON-LEGUME FORB,C3,UNKNOWN
ARISTIDA BASIRAMEA,215.764,C4,ANNUAL,GRASS,C4,NATIVE
ARISTIDA SP.,0.103,C4,ANNUAL,GRASS,C4,UNKNOWN
ARTEMISIA (CAUDATA) CAMPESTRIS,1376.811,F,BIENNIAL,NON-LEGUME FORB,C3,NATIVE
ARTEMISIA LUDOVICIANA,70416.96586,F,PERENNIAL,NON-LEGUME FORB,C3,NATIVE
ASCLEPIAS INCARNATA,3.677,F,PERENNIAL,NON-LEGUME FORB,C3,NATIVE
ASCLEPIAS OVALIFOLIA,360.57733,F,PERENNIAL,NON-LEGUME FORB,C3,NATIVE
ASCLEPIAS SP.,1.1576,F,PERENNIAL,NON-LEGUME FORB,C3,UNKNOWN
ASCLEPIAS SYRIACA,8720.19184,F,PERENNIAL,NON-LEGUME FORB,C3,NATIVE
ASCLEPIAS TUBEROSA,2353.2029,F,PERENNIAL,NON-LEGUME FORB,C3,NATIVE
ASCLEPIAS VERTICILLATA,5.225,F,PERENNIAL,NON-LEGUME FORB,C3,NATIVE
ASTER AZUREUS,9495.90527,F,PERENNIAL,NON-LEGUME FORB,C3,NATIVE
ASTER ERICOIDES,207.2,F,PERENNIAL,NON-LEGUME FORB,C3,NATIVE
ASTER SP.,1.2,F,PERENNIAL,NON-LEGUME FORB,C3,NATIVE
ASTRAGALUS CANADENSIS,0.07,L,PERENNIAL,LEGUME,C3,NATIVE
BERTEROA INCANA,13942.35283,F,BIENNIAL,NON-LEGUME FORB,C3,INTRODUCED
BOUTELOUA GRACILIS,0.0333,C4,PERENNIAL,GRASS,C4,NATIVE
BROMUS INERMIS,4.233,C3,PERENNIAL,GRASS,C3,INTRODUCED
BROMUS SP.,1.173,C3,PERENNIAL,GRASS,C3,INTRODUCED
BUCHLOE DACTYLOIDES,0.133,C4,PERENNIAL,GRASS,C4,NATIVE
CALAMOVILFA LONGIFOLIA,6.167,C4,PERENNIAL,GRASS,C4,NATIVE
CAMPANULA ROTUNDIFOLIA,149.349,F,PERENNIAL,NON-LEGUME FORB,C3,NATIVE
CAREX SP.,9246.93779,S,PERENNIAL,SEDGE,C3,NATIVE
CEANOTHUS AMERICANUS,421.43,W,PERENNIAL,WOODY,C3,NATIVE
CENCHRUS LONGISPINUS,903.647,C4,ANNUAL,GRASS,C4,NATIVE
CHENOPODIUM ALBUM,12997.44458,F,ANNUAL,NON-LEGUME FORB,C3,INTRODUCED
CHENOPODIUM LEPTOPHYLLUM,660.1539,F,ANNUAL,NON-LEGUME FORB,C3,NATIVE
CHENOPODIUM SP.,0.3887,F,UNKNOWN,NON-LEGUME FORB,C3,UNKNOWN
CHRYSOPSIS VILLOSA,65.733,F,PERENNIAL,NON-LEGUME FORB,C3,NATIVE
CIRSIUM ARVENSE,40.803,F,PERENNIAL,NON-LEGUME FORB,C3,INTRODUCED
CIRSIUM DISCOLOR,4.8333,F,"BIENNIAL, PERENNIAL",NON-LEGUME FORB,C3,NATIVE
CIRSIUM SP.,33.424,F,PERENNIAL,NON-LEGUME FORB,C3,UNKNOWN
COMANDRA RICHARDSIANA,1.643,F,PERENNIAL,NON-LEGUME FORB,C3,NATIVE
CONVOLVULUS ARVENSIS,0.6333,F,PERENNIAL,NON-LEGUME FORB,C3,INTRODUCED
COREOPSIS PALMATA,1.84,F,PERENNIAL,NON-LEGUME FORB,C3,NATIVE
CORYLUS AMERICANUS,17532.441,W,PERENNIAL,WOODY,C3,NATIVE
CREPIS TECTORUM,913.056,F,ANNUAL,NON-LEGUME FORB,C3,INTRODUCED
CYPERUS FILICULMIS,31.907,S,PERENNIAL,SEDGE,C4,NATIVE
CYPERUS SCHWEINITZII,52.973,S,PERENNIAL,SEDGE,C4,NATIVE
CYPERUS SP.,1311.27203,S,PERENNIAL,SEDGE,C4,NATIVE
DESMODIUM CANADENSE,3.33,L,PERENNIAL,LEGUME,C3,NATIVE
DIGITARIA ISCHAEMUM,248.83,C4,ANNUAL,GRASS,C4,INTRODUCED
DIGITARIA SANGUINALIS,0.058,C4,ANNUAL,GRASS,C4,INTRODUCED
ELYMUS CANADENSIS,2.1,C3,PERENNIAL,GRASS,C3,NATIVE
EQUISETUM LAEVIGATUM,986.43066,O,PERENNIAL,HORSETAIL,C3,NATIVE
EQUISETUM SP.,17.367,O,PERENNIAL,HORSETAIL,C3,NATIVE
ERAGROSTIS SPECTABILIS,613.5156,C4,PERENNIAL,GRASS,C4,NATIVE
ERIGERON ANUUS,2.507,F,ANNUAL,NON-LEGUME FORB,C3,NATIVE
ERIGERON CANADENSIS,9228.241,F,ANNUAL,NON-LEGUME FORB,C3,INTRODUCED
ERIGERON STRIGOSUS,999.774,F,ANNUAL,NON-LEGUME FORB,C3,NATIVE
EUPHORBIA (SUPINA) MACULATA,29.105,F,ANNUAL,NON-LEGUME FORB,C4,NATIVE
EUPHORBIA COROLLATA,13411.92165,F,PERENNIAL,NON-LEGUME FORB,C3,NATIVE
EUPHORBIA GLYPTOSPERMA,59.25503,F,ANNUAL,NON-LEGUME FORB,C4,NATIVE
EUPHORBIA SP.,0.033,F,ANNUAL,NON-LEGUME FORB,CX,UNKNOWN
FORB SEEDLINGS,0.53,F,UNKNOWN,FORB,UNKNOWN,UNKNOWN
FRAGARIA VIRGINIANA,682.548,F,PERENNIAL,NON-LEGUME FORB,C3,NATIVE
GNAPHALIUM OBTUSIFOLIUM,390.824,F,BIENNIAL,NON-LEGUME FORB,C3,NATIVE
GRASS SEEDLINGS,0.01,G,UNKNOWN,GRASS,UNKNOWN,UNKNOWN
HEDEOMA HISPIDA,1088.8083,F,ANNUAL,NON-LEGUME FORB,C3,NATIVE
HELIANTHEMUM BICKNELLII,398.784,F,PERENNIAL,NON-LEGUME FORB,C3,NATIVE
HELIANTHUS LAETIFLORUS,9.8,F,PERENNIAL,NON-LEGUME FORB,C3,NATIVE
HIERACIUM AURANTIACUM,0.7873,F,PERENNIAL,NON-LEGUME FORB,C3,INTRODUCED
HIERACIUM KALMII,41.48,F,PERENNIAL,NON-LEGUME FORB,C3,NATIVE
HIERACIUM LONGIPILUM,436.46,F,BIENNIAL,NON-LEGUME FORB,C3,NATIVE
HIERACIUM SP.,0.84,F,BIENNIAL,NON-LEGUME FORB,C3,UNKNOWN
KOELERIA CRISTATA,2.369,C3,PERENNIAL,GRASS,C3,NATIVE
LACTUCA CANADENSIS,773.871,F,BIENNIAL,NON-LEGUME FORB,C3,NATIVE
LACTUCA SERRIOLA (SCARIOLA),8.17,F,BIENNIAL,NON-LEGUME FORB,C3,INTRODUCED
LACTUCA SP.,325.8417,F,BIENNIAL,NON-LEGUME FORB,C3,UNKNOWN
LATHYRUS VENOSUS,9442.94133,L,PERENNIAL,LEGUME,C3,NATIVE
LECHEA STRICTA,28.776,F,PERENNIAL,NON-LEGUME FORB,C3,NATIVE
LEPIDIUM DENSIFLORUM,582.248,F,ANNUAL,NON-LEGUME FORB,C3,NATIVE
LEPTOLOMA COGNATUM,29.68,C4,PERENNIAL,GRASS,C4,NATIVE
LESPEDEZA CAPITATA,4129.24387,L,PERENNIAL,LEGUME,C3,NATIVE
LIATRIS ASPERA,1269.706,F,PERENNIAL,NON-LEGUME FORB,C3,NATIVE
LITHOSPERMUM CANESCENS,1167.67493,F,PERENNIAL,NON-LEGUME FORB,C3,NATIVE
LITHOSPERMUM CAROLINIENSE,2171.936,F,PERENNIAL,NON-LEGUME FORB,C3,NATIVE
LITHOSPERMUM SP.,0.08003,F,PERENNIAL,NON-LEGUME FORB,C3,UNKNOWN
LYCHNIS ALBA,13058.333,F,PERENNIAL,NON-LEGUME FORB,C3,INTRODUCED
MEDICAGO SATIVA,0.073,L,PERENNIAL,LEGUME,C3,INTRODUCED
MELILOTUS ALBA,407.837,L,BIENNIAL,LEGUME,C3,INTRODUCED
MELILOTUS SP.,7.346,L,BIENNIAL,LEGUME,C3,INTRODUCED
MOLLUGO VERTICILLATA,640.682,F,ANNUAL,NON-LEGUME FORB,C4,INTRODUCED
MONARDA FISTULOSA,84.7953,F,PERENNIAL,NON-LEGUME FORB,C3,NATIVE
OENOTHERA BIENNIS,2653.1923,F,BIENNIAL,NON-LEGUME FORB,C3,NATIVE
OENOTHERA SP.,1.313,F,BIENNIAL,NON-LEGUME FORB,C3,UNKNOWN
OXYBAPHUS HIRSUTUS,1629.5353,F,PERENNIAL,NON-LEGUME FORB,C3,NATIVE
PANICUM CAPILLARE,1234.326,C4,ANNUAL,GRASS,C4,NATIVE
PANICUM OLIGOSANTHES,25203.55437,C3,PERENNIAL,GRASS,C3,NATIVE
PANICUM PERLONGUM,620.875,C3,PERENNIAL,GRASS,C3,NATIVE
PANICUM PRAECOCIOUS,1044.4483,C3,PERENNIAL,GRASS,C3,NATIVE
PANICUM SP.,1.311,G,PERENNIAL,GRASS,CX,NATIVE
PANICUM VIRGATUM,5.866,C4,PERENNIAL,GRASS,C4,NATIVE
PENSTEMON GRACILIS,69.498,F,PERENNIAL,NON-LEGUME FORB,C3,NATIVE
PENSTEMON GRANDIFLORUS,67.023,F,PERENNIAL,NON-LEGUME FORB,C3,NATIVE
PENTHORUM SEDOIDES,2.233,F,PERENNIAL,NON-LEGUME FORB,C3,NATIVE
PETALOSTEMUM PURPUREUM,33.911,L,PERENNIAL,LEGUME,C3,NATIVE
PHALARIS ARUNDINACEA,951.534,C3,PERENNIAL,GRASS,C3,NATIVE
PHYSALIS HETEROPHYLLA,560.923,F,PERENNIAL,NON-LEGUME FORB,C3,NATIVE
PHYSALIS VIRGINIANA,1240.04218,F,PERENNIAL,NON-LEGUME FORB,C3,NATIVE
PINUS SP.,0.084,W,PERENNIAL,WOODY,C3,UNKNOWN
PINUS STROBUS,0.603,W,PERENNIAL,WOODY,C3,NATIVE
PLANTAGO (PURSHII) PATAGONICA,1.967,F,ANNUAL,NON-LEGUME FORB,C3,NATIVE
POA COMPRESSA,0.367,C3,PERENNIAL,GRASS,C3,INTRODUCED
POA PALUSTRIS,3.17,C3,PERENNIAL,GRASS,C3,NATIVE
POA PRATENSIS,302385.8203,C3,PERENNIAL,GRASS,C3,NATIVE AND/OR INTRODUCED
POLYGALA POLYGAMA,130.568,F,BIENNIAL,NON-LEGUME FORB,C3,NATIVE
POLYGONATUM CANALICULATUM,1082.847,F,PERENNIAL,NON-LEGUME FORB,C3,NATIVE
POLYGONUM CONVOLVULUS,25761.41134,F,ANNUAL,NON-LEGUME FORB,C3,INTRODUCED
POLYGONUM PENSYLVANICUM,9.033,F,ANNUAL,NON-LEGUME FORB,C3,NATIVE
POLYGONUM PERSICARIA,9.333,F,ANNUAL,NON-LEGUME FORB,C3,INTRODUCED
POLYGONUM SP.,0.527,F,ANNUAL,NON-LEGUME FORB,C3,UNKNOWN
POLYGONUM TENUE,48.911,F,ANNUAL,NON-LEGUME FORB,C3,NATIVE
POPULUS TREMULOIDES,71,W,PERENNIAL,WOODY,C3,NATIVE
POTENTILLA ARGENTEA,0.567,F,PERENNIAL,NON-LEGUME FORB,C3,INTRODUCED
POTENTILLA NORVEGICA,0.053,F,BIENNIAL,NON-LEGUME FORB,C3,NATIVE
POTENTILLA RECTA,2840.0387,F,PERENNIAL,NON-LEGUME FORB,C3,INTRODUCED
POTENTILLA SIMPLEX,0.06,F,PERENNIAL,NON-LEGUME FORB,C3,NATIVE
POTENTILLA SP.,10.26,F,PERENNIAL,NON-LEGUME FORB,C3,UNKNOWN
PRUNUS PENSYLVANICA,3.7,W,PERENNIAL,WOODY,C3,NATIVE
PRUNUS SP.,6.112,W,PERENNIAL,WOODY,C3,UNKNOWN
QUERCUS ELLIPSOIDALIS,3098.293,W,PERENNIAL,WOODY,C3,NATIVE
QUERCUS SP.,0.3,W,PERENNIAL,WOODY,C3,NATIVE
RANUNCULUS RHOMBOIDEUS,0.553,F,PERENNIAL,NON-LEGUME FORB,C3,NATIVE
RHUS GLABRA,2248.3164,W,PERENNIAL,WOODY,C3,NATIVE
ROSA ARKANSANA,16929.42677,W,PERENNIAL,WOODY,C3,NATIVE
RUBUS SP.,23637.43917,W,PERENNIAL,WOODY,C3,NATIVE
RUDBECKIA SEROTINA,1004.47066,F,PERENNIAL,NON-LEGUME FORB,C3,NATIVE
RUMEX ACETOSELLA,5411.1523,F,PERENNIAL,NON-LEGUME FORB,C3,INTRODUCED
SALSOLA KALI,0.077,F,ANNUAL,NON-LEGUME FORB,C4,INTRODUCED
SCHIZACHYRIUM SCOPARIUM,205294.9055,C4,PERENNIAL,GRASS,C4,NATIVE
SCUTELLARIA LATERIFLORA,0.233,F,PERENNIAL,NON-LEGUME FORB,C3,NATIVE
SETARIA LUTESCENS (GLAUCA),26651.54356,C4,ANNUAL,GRASS,C4,INTRODUCED
SETARIA SP.,15.0863,C4,ANNUAL,GRASS,C4,UNKNOWN
SETARIA VIRIDIS,351.0147,C4,ANNUAL,GRASS,C4,INTRODUCED
SILENE ANTIRRHINA,132.97897,F,ANNUAL,NON-LEGUME FORB,C3,NATIVE
SILENE SP.,0.05,F,UNKNOWN,NON-LEGUME FORB,C3,NATIVE AND/OR INTRODUCED
SISYRINCHIUM CAMPESTRE,100.899,F,PERENNIAL,NON-LEGUME FORB,C3,NATIVE
SMILACINA RACEMOSA,29.234,F,PERENNIAL,NON-LEGUME FORB,C3,NATIVE
SMILACINA STELLATA,5.553,F,PERENNIAL,NON-LEGUME FORB,C3,NATIVE
SOLANUM AMERICANUM,2.8,F,ANNUAL,NON-LEGUME FORB,C3,NATIVE
SOLIDAGO ALTISSIMA,0.233,F,PERENNIAL,NON-LEGUME FORB,C3,NATIVE
SOLIDAGO GRAMINIFOLIA,95.767,F,PERENNIAL,NON-LEGUME FORB,C3,NATIVE
SOLIDAGO NEMORALIS,5304.47123,F,PERENNIAL,NON-LEGUME FORB,C3,NATIVE
SOLIDAGO RIGIDA,27239.247,F,PERENNIAL,NON-LEGUME FORB,C3,NATIVE
SOLIDAGO SP.,1.534,F,PERENNIAL,NON-LEGUME FORB,C3,NATIVE
SOLIDAGO SPECIOSA,6.6767,F,PERENNIAL,NON-LEGUME FORB,C3,NATIVE
SORGHASTRUM NUTANS,12140.1465,C4,PERENNIAL,GRASS,C4,NATIVE
SPOROBOLUS CRYPTANDRUS,0.333,C4,PERENNIAL,GRASS,C4,NATIVE
STACHYS PALUSTRIS,3.733,F,PERENNIAL,NON-LEGUME FORB,C3,NATIVE
STIPA COMATA,8.5667,C3,PERENNIAL,GRASS,C3,NATIVE
STIPA SPARTEA,3196.05233,C3,PERENNIAL,GRASS,C3,NATIVE
TARAXICUM OFFICINALIS,1.226,F,PERENNIAL,NON-LEGUME FORB,C3,INTRODUCED
TRADESCANTIA BRACTEATA,1.13,F,PERENNIAL,NON-LEGUME FORB,C3,NATIVE
TRADESCANTIA OCCIDENTALIS,1900.2074,F,PERENNIAL,NON-LEGUME FORB,C3,NATIVE
TRADESCANTIA SP.,4.88,F,UNKNOWN,NON-LEGUME FORB,C3,NATIVE AND/OR INTRODUCED
TRAGOPOGON DUBIUS (MAJOR),1658.993,F,BIENNIAL,NON-LEGUME FORB,C3,INTRODUCED
TRIFOLIUM HYBRIDUM,0.877,L,PERENNIAL,LEGUME,C3,INTRODUCED
TRIFOLIUM PRATENSE,0.2,L,PERENNIAL,LEGUME,C3,INTRODUCED
TRIFOLIUM REPENS,18.277,L,PERENNIAL,LEGUME,C3,INTRODUCED
TRIFOLIUM SP.,14.337,L,PERENNIAL,LEGUME,C3,INTRODUCED
TYPHA GLAUCA,0.647,F,PERENNIAL,NON-LEGUME FORB,C3,NATIVE
ULMUS AMERICANA,1330.1,W,PERENNIAL,WOODY,C3,NATIVE
URTICA DIOICA,5743.328,F,PERENNIAL,NON-LEGUME FORB,C3,NATIVE
VERBASCUM THAPSUS,1894.699,F,BIENNIAL,NON-LEGUME FORB,C3,INTRODUCED
VICIA VILLOSA,16.638,L,ANNUAL,LEGUME,C3,INTRODUCED
VIOLA PEDATA,0.333,F,PERENNIAL,NON-LEGUME FORB,C3,NATIVE
VIOLA PEDATIFIDA,416.40978,F,PERENNIAL,NON-LEGUME FORB,C3,NATIVE
VIOLA SAGITTATA,0.05,F,PERENNIAL,NON-LEGUME FORB,C3,NATIVE
VIOLA SP.,4.721,F,PERENNIAL,NON-LEGUME FORB,C3,UNKNOWN